Parameters,Average_Swarm_Quality
"(0.8, 1.2, 0.4)",0.7766705416662474
"(0.8, 1.2, 0.6)",0.7208858333333491
"(0.8, 1.2, 0.8)",0.6583896250001914
"(0.8, 1.2, 1.0)",0.628439583333355
"(1.0, 0.0, 0.0)",0.3290374999999886
"(1.0, 0.0, 0.2)",0.3278247083333353
"(1.0, 0.0, 0.4)",0.30802399999981867
"(1.0, 0.0, 0.6)",0.2047668333333547
"(1.0, 0.0, 0.8)",0.20172750000002054
"(1.0, 0.0, 1.0)",0.20121895833334802
"(1.0, 0.2, 0.0)",0.32904583333331977
"(1.0, 0.2, 0.2)",0.33059287499994805
"(1.0, 0.2, 0.4)",0.7586673750003858
"(1.0, 0.2, 0.6)",0.6960601666666074
"(1.0, 0.2, 0.8)",0.4649207499999917
"(1.0, 0.2, 1.0)",0.3643120000000224
"(1.0, 0.4, 0.0)",0.32869583333333297
"(1.0, 0.4, 0.2)",0.7172874583333758
"(1.0, 0.4, 0.4)",0.8456952500003619
"(1.0, 0.4, 0.6)",0.780337041666279
"(1.0, 0.4, 0.8)",0.7005462083334372
"(1.0, 0.4, 1.0)",0.5877842500000425
"(1.0, 0.6, 0.0)",0.3277000000000006
"(1.0, 0.6, 0.2)",0.8619734583338536
"(1.0, 0.6, 0.4)",0.7966976666663165
"(1.0, 0.6, 0.6)",0.7708583333329505
"(1.0, 0.6, 0.8)",0.762687999999616
"(1.0, 0.6, 1.0)",0.7462552499997941
"(1.0, 0.8, 0.0)",0.3249958333333388
"(1.0, 0.8, 0.2)",0.7909639583329134
"(1.0, 0.8, 0.4)",0.7700134583329317
"(1.0, 0.8, 0.6)",0.7664721249996045
"(1.0, 0.8, 0.8)",0.7688943749995965
"(1.0, 0.8, 1.0)",0.7663909583329603
"(1.0, 1.0, 0.0)",0.7764359999995806
"(1.0, 1.0, 0.2)",0.7669074583329604
"(1.0, 1.0, 0.4)",0.767161416666256
"(1.0, 1.0, 0.6)",0.7671134583329698
"(1.0, 1.0, 0.8)",0.7667800833329562
"(1.0, 1.0, 1.0)",0.7681314999996541
"(1.0, 1.2, 0.0)",0.7657936666662811
"(1.0, 1.2, 0.2)",0.765741458332955
"(1.0, 1.2, 0.4)",0.7658071666662556
"(1.0, 1.2, 0.6)",0.7657005833329525
"(1.0, 1.2, 0.8)",0.768041916666255
"(1.0, 1.2, 1.0)",0.7666009999996061
